x,y,timestamp,pen_status
47208.664,14658.014,356.14203,1.0
47295.492,14633.852,357.72574,1.0
47247.363,14649.59,357.82687,1.0
47255.19,14647.623,358.38812,1.0
47240.414,14619.074,358.9454,1.0
47237.63,14625.532,359.1385,1.0
47219.16,14593.512,359.18042,1.0
47241.414,14621.799,361.4473,1.0
47252.76,14669.121,362.14212,1.0
47215.76,14660.564,362.97968,1.0
47281.938,14624.256,372.5084,1.0
47174.914,14632.854,376.06607,1.0
47258.594,14629.497,376.29977,1.0
47204.78,14605.92,383.9072,1.0
47257.72,14628.877,385.00735,1.0
47206.1,14649.274,385.27142,1.0
47196.797,14625.379,389.19678,1.0
47205.953,14613.947,390.30576,1.0
47152.414,14653.516,390.9609,1.0
47135.582,14651.751,396.4145,1.0
47103.984,14639.061,398.20023,1.0
47113.145,14650.578,398.92075,1.0
47055.703,14654.517,403.10416,1.0
47055.7,14637.164,404.95724,1.0
47032.57,14638.5,407.28604,1.0
46982.684,14648.875,407.7095,1.0
46898.535,14655.778,409.3485,1.0
46903.44,14653.787,412.2806,1.0
46870.49,14644.678,413.9115,1.0
46850.5,14682.657,414.3712,1.0
46784.633,14663.509,414.39688,1.0
46699.098,14668.629,416.98572,1.0
46646.87,14649.046,419.31744,1.0
46605.46,14665.968,421.39893,1.0
46535.72,14604.661,421.8214,1.0
46513.234,14641.895,423.2981,1.0
46436.684,14649.288,425.62057,1.0
46484.617,14634.532,425.65695,1.0
46378.926,14646.398,425.78134,1.0
46304.883,14640.826,428.16425,1.0
46275.516,14634.06,436.23413,1.0
46177.773,14622.034,447.8426,1.0
46139.574,14657.679,447.9628,1.0
46065.04,14627.825,449.22333,1.0
45988.05,14632.896,451.97748,1.0
45881.367,14638.365,454.62143,1.0
45822.617,14663.853,458.8656,1.0
45768.68,14615.263,460.26474,1.0
45720.844,14640.703,462.59796,1.0
45642.082,14620.953,463.5453,1.0
45551.277,14668.962,464.1755,1.0
45545.348,14674.008,465.91904,1.0
45470.92,14619.479,468.06113,1.0
45396.402,14655.788,471.50247,1.0
45381.668,14616.482,472.2036,1.0
45353.406,14660.726,472.58804,1.0
45333.41,14606.596,473.09097,1.0
45309.242,14655.209,477.2737,1.0
45282.723,14683.127,479.59796,1.0
45236.273,14639.363,484.78717,1.0
45188.586,14660.092,485.81146,1.0
45187.637,14649.306,486.15607,1.0
45128.203,14657.989,489.46042,1.0
45125.152,14667.501,490.37534,1.0
45085.445,14629.878,491.40622,1.0
45084.516,14626.2295,495.92282,1.0
45051.28,14615.301,497.6903,1.0
45003.824,14654.847,498.026,1.0
44959.438,14692.268,498.77298,1.0
44950.98,14670.674,499.59457,1.0
44912.402,14657.002,499.71796,1.0
44931.41,14668.628,505.59262,1.0
44858.62,14658.303,508.0316,1.0
44913.25,14665.234,508.13184,1.0
44811.73,14660.048,508.9661,1.0
44818.08,14641.767,509.4483,1.0
44819.15,14662.41,512.17957,1.0
44793.777,14664.325,512.3684,1.0
44765.285,14649.332,517.65955,1.0
44738.316,14674.94,521.49695,1.0
44684.133,14669.676,522.6494,1.0
44654.824,14649.53,522.88605,1.0
44546.324,14620.69,523.10345,1.0
44565.734,14657.51,524.34216,1.0
44558.473,14653.436,525.2122,1.0
44588.863,14675.495,527.3514,1.0
44528.312,14687.063,528.4303,1.0
44593.152,14663.072,528.88696,1.0
44511.41,14673.361,530.007,1.0
44530.74,14660.767,531.91925,1.0
44481.01,14665.823,533.13696,1.0
44486.16,14641.363,535.45087,1.0
44495.305,14671.188,538.09064,1.0
44542.832,14677.766,538.49615,1.0
44496.61,14669.84,539.3207,1.0
